,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,210,47,157,6,13,7,0.791047619,0.005333333,12.46009048,4.577452381,17.167
4,74,20,45,9,14,5,0.906217568,0.002943243,33.93127027,14.51856757,48.74918919
5,124,84,35,5,10,5,0.827946774,0.002845161,23.55504839,5.977879032,29.71540323
6,30,13,5,12,16,4,0.90015,0.0297,65.263,48.2012,120.9156667
7,27,11,3,13,16,3,0.86707037,0.015225926,78.56551852,54.18792593,134.2951852
8,117,47,56,14,17,3,0.712820513,0.007179487,19.66211966,12.43119658,32.22102564
9,44,0,31,13,19,6,0.748,0.036,52.08634091,31.17302273,84.47340909
10,402,182,220,0,3,3,0.346200746,0.000226119,8.664828358,0.204554726,8.981094527
11,4811,1294,3517,0,3,3,0.259099418,0,0.62212513,0.015874039,0.74860528
1,164,34,128,2,11,9,0.416094512,0.004645122,19.3667622,3.5445,23.05829268
2,18,0,0,18,18,0,0.185644444,0.031177778,100.1774444,100.2556111,200.8777778
3,53,1,36,16,18,2,0.402786792,0.010241509,37.08790566,31.99898113,69.34264151
,,,,,,,,,,,
12,216,9,193,14,17,3,0.784814815,0.006111111,9.694439815,7.051875,16.88675926
16,75,8,55,12,14,2,0.88846,0.006996,31.0968,17.94189333,49.5652
17,129,34,86,9,13,4,0.813632558,0.003494574,18.94053488,8.731310078,27.92116279
18,41,5,22,14,16,2,0.899390244,0.022939024,44.69692683,36.2724878,91.49804878
19,37,3,18,16,17,1,0.861727027,0.015513514,51.45454054,43.95527027,97.87513514
20,177,28,133,16,17,1,0.710282486,0.005649718,11.60489266,9.084542373,20.83762712
21,66,0,53,13,17,4,0.747636364,0.021333333,32.74569697,20.89736364,55.24939394
22,639,218,418,3,6,3,0.352230516,0.000142254,4.983474178,0.569051643,5.674757433
23,3991,483,3508,0,2,2,0.261200927,0,0.777612378,0.008530193,0.902861438
13,216,19,192,5,15,10,0.416235648,0.00396713,13.70964815,3.6965,17.55435185
14,31,0,13,18,18,0,0.176245161,0.011806452,58.18019355,58.14322581,116.8190323
15,123,0,107,16,17,1,0.432833333,0.005121951,16.09786179,13.06808943,29.4303252
