Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.169,0.27,0,0.0,0.27,0,0,0.832,1.0,-,,
2,unsat,0,2,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.081,0.18,0,0.0,0.18,0,0,0.832,1.0,-,,
3,sat,1,2,0,0,0,0.0769,0.0,0.0769,0,0.0769,0.695,0.81,0,0.0,0.81,1,1,0.832,1.0,-,[40.  6.  2. 13.  4. 12.  5.  4.  0.  0. 12. 79. 28.],[37.  6.  2. 13.  4. 12.  5.  1.  0.  0. 12. 79. 28.]
4,unsat,1,3,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.073,0.17,0,0.0,0.17,0,0,0.832,1.0,-,,
5,unsat,1,4,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.145,0.24,0,0.0,0.24,0,0,0.832,1.0,-,,
6,sat,2,4,0,0,0,0.0769,0.0,0.0769,0,0.0769,1.21,1.35,0,0.0,1.35,1,1,0.832,1.0,-,[77.  6. 12. 14.  4.  5.  5.  1.  0.  0.  3. 74. 22.],[75.  6. 12. 14.  4.  5.  5.  2.  0.  0.  3. 74. 22.]
7,sat,3,4,0,0,0,0.0769,0.0,0.0769,0,0.0769,0.535,0.65,0,0.0,0.65,1,1,0.832,1.0,-,[100.   6.   5.   5.   5.  11.   4.   1.   1.   1.   4.  97.  11.],[97.  6.  5.  5.  5. 11.  4.  4.  1.  1.  4. 97. 11.]
8,unsat,3,5,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.1,0.2,0,0.0,0.2,0,0,0.832,1.0,-,,
9,unsat,3,6,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.076,0.17,0,0.0,0.17,0,0,0.832,1.0,-,,
10,unsat,3,7,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.1,0.21,0,0.0,0.21,0,0,0.832,1.0,-,,
11,sat,4,7,0,0,0,0.1538,0.0,0.1538,0,0.1538,0.134,0.27,0,0.0,0.27,1,1,0.832,1.0,-,[57.  6.  0.  9.  5.  5.  0.  2.  0.  0. 19. 81. 11.],[53.  6.  0.  9.  5.  5.  0.  3.  0.  0. 19. 81. 11.]
12,unsat,4,8,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.132,0.23,0,0.0,0.23,0,0,0.832,1.0,-,,
13,sat,5,8,0,0,0,0.1538,0.0,0.1538,0,0.1538,0.352,0.47,0,0.0,0.47,1,1,0.832,1.0,-,[78.  6. 10. 16.  5. 12.  3.  0.  0.  0.  8. 23.  4.],[79.  6. 10. 16.  5. 12.  3.  1.  0.  0.  8. 23.  4.]
14,unsat,5,9,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.093,0.2,0,0.0,0.2,0,0,0.832,1.0,-,,
15,unsat,5,10,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.086,0.19,0,0.0,0.19,0,0,0.832,1.0,-,,
16,unsat,5,11,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.098,0.21,0,0.0,0.21,0,0,0.832,1.0,-,,
17,unsat,5,12,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.086,0.24,0,0.0,0.24,0,0,0.832,1.0,-,,
18,unsat,5,13,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.073,0.18,0,0.0,0.18,0,0,0.832,1.0,-,,
19,sat,6,13,0,0,0,0.0,0.0,0.0,0,0.0,18.971,19.09,0,0.0,19.09,1,1,0.832,1.0,-,[16.  4.  7.  1.  2. 13.  4.  0.  0.  0. 15. 79. 23.],[19.  4.  7.  1.  2. 13.  4.  4.  0.  0. 15. 79. 23.]
20,unsat,6,14,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.099,0.22,0,0.0,0.22,0,0,0.832,1.0,-,,
21,unsat,6,15,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.087,0.18,0,0.0,0.18,0,0,0.832,1.0,-,,
22,unsat,6,16,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.147,0.25,0,0.0,0.25,0,0,0.832,1.0,-,,
23,unsat,6,17,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.137,0.24,0,0.0,0.24,0,0,0.832,1.0,-,,
24,unsat,6,18,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.077,0.18,0,0.0,0.18,0,0,0.832,1.0,-,,
25,unsat,6,19,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.081,0.18,0,0.0,0.18,0,0,0.832,1.0,-,,
26,unsat,6,20,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.133,0.24,0,0.0,0.24,0,0,0.832,1.0,-,,
27,sat,7,20,0,0,0,0.1538,0.0,0.1538,0,0.1538,0.245,0.37,0,0.0,0.37,1,1,0.832,1.0,-,[87.  6. 15.  7.  4. 12.  0.  2.  0.  0. 14. 18.  6.],[82.  6. 15.  7.  4. 12.  0.  4.  0.  0. 14. 18.  6.]
28,sat,8,20,0,0,0,0.1538,0.0,0.1538,0,0.1538,0.258,0.37,0,0.0,0.37,1,1,0.832,1.0,-,[23.  6. 10. 11.  6.  8.  5.  3.  1.  3.  0. 49.  5.],[21.  6. 10. 11.  6.  8.  5.  1.  1.  3.  0. 49.  5.]
29,unsat,8,21,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.093,0.19,0,0.0,0.19,0,0,0.832,1.0,-,,
30,unsat,8,22,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.083,0.19,0,0.0,0.19,0,0,0.832,1.0,-,,
31,unsat,8,23,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.101,0.2,0,0.0,0.2,0,0,0.832,1.0,-,,
32,unsat,8,24,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.088,0.18,0,0.0,0.18,0,0,0.832,1.0,-,,
