Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.4286,0.0,0.4286,0,0.4286,0.011,0.15,0,0.0,0.15,0,0,0.8452,1.0,-,,
2,unsat,0,2,0,0,0,0.5238,0.0,0.5238,0,0.5238,0.01,0.13,0,0.0,0.13,0,0,0.8452,1.0,-,,
3,unsat,0,3,0,0,0,0.4286,0.0476,0.4762,0,0.4762,0.01,0.15,0,0.0,0.15,0,0,0.8452,1.0,-,,
4,unsat,0,4,0,0,0,0.4762,0.0476,0.5238,0,0.5238,0.615,0.75,0,0.0,0.75,0,0,0.8452,1.0,-,,
5,unsat,0,5,0,0,0,0.381,0.0,0.381,0,0.381,16.172,16.34,0,0.0,16.34,0,0,0.8452,1.0,-,,
6,unsat,0,6,0,0,0,0.381,0.0476,0.4286,0,0.4286,0.012,0.17,0,0.0,0.17,0,0,0.8452,1.0,-,,
7,unsat,0,7,0,0,0,0.381,0.0952,0.4762,0,0.4762,1.476,1.63,0,0.0,1.63,0,0,0.8452,1.0,-,,
8,unsat,0,8,0,0,0,0.3333,0.0,0.3333,0,0.3333,0.013,0.15,0,0.0,0.15,0,0,0.8452,1.0,-,,
9,unsat,0,9,0,0,0,0.381,0.0,0.381,0,0.381,23.821,23.97,0,0.0,23.97,0,0,0.8452,1.0,-,,
10,unsat,0,10,0,0,0,0.381,0.0,0.381,0,0.381,0.012,0.15,0,0.0,0.15,0,0,0.8452,1.0,-,,
11,unsat,0,11,0,0,0,0.4762,0.0476,0.5238,0,0.5238,0.647,0.79,0,0.0,0.79,0,0,0.8452,1.0,-,,
12,sat,1,11,0,0,0,0.2857,0.0,0.2857,0,0.2857,25.707,25.86,0,0.0,25.86,1,1,0.8452,1.0,-,[73.  6. 11. 15.  0.  2.  5.  4.  1.  0. 10. 19.  6.],[73.  6. 11. 15.  2.  2.  5.  3.  1.  0. 10. 19.  6.]
13,sat,2,11,0,0,0,0.2857,0.0,0.2857,0,0.2857,47.854,48.01,0,0.0,48.01,1,1,0.8452,1.0,-,[64.  6. 15.  9.  5.  0.  1.  1.  1.  0. 19. 48. 12.],[64.  6. 15.  9.  2.  0.  1.  0.  1.  0. 19. 48. 12.]
14,unsat,2,12,0,0,0,0.3333,0.0476,0.381,0,0.381,0.014,0.18,0,0.0,0.18,0,0,0.8452,1.0,-,,
15,unsat,2,13,0,0,0,0.381,0.0476,0.4286,0,0.4286,0.012,0.16,0,0.0,0.16,0,0,0.8452,1.0,-,,
16,unsat,2,14,0,0,0,0.4762,0.0476,0.5238,0,0.5238,0.436,0.57,0,0.0,0.57,0,0,0.8452,1.0,-,,
17,unsat,2,15,0,0,0,0.3333,0.0476,0.381,0,0.381,7.674,7.86,0,0.0,7.86,0,0,0.8452,1.0,-,,
18,sat,3,15,0,1,1,0.2857,0.0,0.2857,0.0476,0.3333,100.051,100.2,9.335,9.38,109.58,1,1,0.8452,1.0,-,[52.  5.  0.  1.  4.  6.  1.  1.  0.  1. 12. 91.  6.],[52.  5.  0.  1.  5.  6.  1.  0.  0.  1. 12. 91.  6.]
19,unsat,3,16,0,0,0,0.4286,0.0,0.4286,0,0.4286,4.568,4.71,0,0.0,4.71,0,0,0.8452,1.0,-,,
20,unsat,3,17,0,0,0,0.381,0.0952,0.4762,0,0.4762,0.012,0.17,0,0.0,0.17,0,0,0.8452,1.0,-,,
21,unsat,3,18,0,0,0,0.3333,0.0,0.3333,0,0.3333,0.013,0.15,0,0.0,0.15,0,0,0.8452,1.0,-,,
22,sat,4,18,0,1,1,0.2381,0.0,0.2381,0.0952,0.3333,100.139,100.31,22.519,22.57,122.88,1,1,0.8452,1.0,-,[85.  3.  6.  4.  3.  0.  2.  1.  0.  1.  7. 19. 23.],[85.  3.  6.  4.  4.  0.  2.  0.  0.  1.  7. 19. 23.]
23,unsat,4,19,0,0,0,0.4762,0.0,0.4762,0,0.4762,3.125,3.25,0,0.0,3.25,0,0,0.8452,1.0,-,,
24,unsat,4,20,0,0,0,0.4762,0.0476,0.5238,0,0.5238,0.01,0.15,0,0.0,0.15,0,0,0.8452,1.0,-,,
25,unsat,4,21,0,0,0,0.381,0.0476,0.4286,0,0.4286,0.012,0.18,0,0.0,0.18,0,0,0.8452,1.0,-,,
26,sat,5,21,0,1,1,0.1905,0.0,0.1905,0.0952,0.2857,100.034,100.21,74.303,74.35,174.56,1,1,0.8452,1.0,-,[27.  0.  8. 14.  2.  9.  5.  3.  0.  0.  0. 11.  2.],[27.  0.  8. 14.  1.  9.  5.  2.  0.  0.  0. 11.  2.]
27,sat,6,21,0,1,1,0.2857,0.0,0.2857,0.0476,0.3333,100.218,100.37,5.425,5.47,105.84,1,1,0.8452,1.0,-,[51.  6.  5. 16.  3. 13.  3.  1.  0.  0. 11. 35. 35.],[51.  6.  5. 16.  5. 13.  3.  0.  0.  0. 11. 35. 35.]
28,unsat,6,22,0,0,0,0.4286,0.0476,0.4762,0,0.4762,0.01,0.15,0,0.0,0.15,0,0,0.8452,1.0,-,,
29,unsat,6,23,0,0,0,0.4286,0.0952,0.5238,0,0.5238,0.49,0.64,0,0.0,0.64,0,0,0.8452,1.0,-,,
30,unsat,6,24,0,0,0,0.4286,0.0952,0.5238,0,0.5238,0.37,0.52,0,0.0,0.52,0,0,0.8452,1.0,-,,
31,unsat,6,25,0,0,0,0.4286,0.0,0.4286,0,0.4286,6.115,6.26,0,0.0,6.26,0,0,0.8452,1.0,-,,
