,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,333,40,279,14,17,3,0.931177177,0.002446547,6.2163003,4.429654655,10.85573574
1,566,65,493,8,17,9,0.892972792,0.002054947,4.715431095,1.707567138,6.566431095
2,1600,233,1358,9,12,3,0.9760915,0.000198,1.382935625,0.717134375,2.256225
3,132,10,111,11,13,2,0.940443182,0.013515152,10.46487121,9.147212121,28.19378788
4,4915,731,4180,4,5,1,0.840128159,0.000104802,0.518505188,0.098349949,0.732561546
5,8671,1484,7187,0,2,2,0.780651378,4.25E-05,0.298027794,0.008311729,0.415209318
6,590,168,411,11,12,1,0.941768644,0.001773898,3.908289831,1.921669492,6.408966102
7,112,11,87,14,16,2,0.860928571,0.013571429,20.46983929,12.77005357,33.71678571
,,,,,,,,,,,
8,968,65,890,13,16,3,0.933208471,0.000816322,2.147757231,1.353058884,3.750754132
9,1514,110,1396,8,16,8,0.895464861,0.000606473,1.585217305,0.705466975,2.455482166
10,2768,208,2550,10,11,1,0.97591521,0.00013591,0.743151734,0.374015896,1.301683526
11,157,10,143,4,7,3,0.93605414,0.006052866,5.038458599,3.248191083,23.18630573
12,7601,583,7014,4,8,4,0.840411748,6.38E-05,0.28041534,0.069533219,0.47584923
13,13779,1200,12579,0,1,1,0.780658125,1.15E-05,0.139754772,0.00214885,0.26150156
14,1340,187,1151,2,9,7,0.943181269,0.000821493,1.747764925,0.217985075,2.686619403
15,188,6,167,15,17,2,0.854042553,0.006595745,10.57673404,8.58112234,19.90484043
