,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,111,107,0,4,6,2,0.809197297,0.002118919,26.63892793,9.022792793,35.87459459
1,32,24,2,6,7,1,0.864184375,0.0086625,84.78834375,38.6495625,123.9359375
2,2697,2026,671,0,3,3,0.696885428,3.71E-05,1.218344828,0.049506118,1.36836485
3,9695,185,9510,0,0,0,0.636268695,0,0.268442599,0,0.371325425
4,9,0,0,9,9,0,0.627555556,0.028444444,200.3463333,200.3411111,401.2488889
,,,,,,,,,,,
5,116,106,1,9,12,3,0.807786207,0.001689655,22.57442241,8.875551724,31.75275862
6,30,16,2,12,17,5,0.85744,0.01122,70.368,48.87446667,120.1203333
7,3175,2343,832,0,2,2,0.698141732,3.15E-05,0.960875276,0.034725039,1.133864567
8,8361,79,8282,0,1,1,0.63618249,5.44E-05,0.27932532,0.00042483,0.430590838
9,20,0,2,18,18,0,0.6248,0.0256,90.37345,90.2501,181.424
