Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.7,0.0,0.7,0,0.7,0.272,0.4,0,0.0,0.4,1,1,0.7067,1.0,-,"[2.000e+00 2.000e+01 2.000e+00 9.000e+00 1.679e+04 2.000e+00 2.000e+00
 1.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00 2.000e+00 2.000e+00
 4.000e+00 3.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00]","[2.000e+00 2.000e+01 2.000e+00 9.000e+00 1.679e+04 2.000e+00 2.000e+00
 1.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00 2.000e+00 2.000e+00
 4.000e+00 3.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00]"
2,sat,2,0,0,0,0,0.7,0.0,0.7,0,0.7,1.504,1.63,0,0.0,1.63,1,1,0.7067,1.0,-,"[2.000e+00 6.900e+01 1.000e+00 1.000e+00 4.747e+03 0.000e+00 2.000e+00
 1.000e+00 1.000e+00 1.000e+00 2.000e+00 1.000e+00 0.000e+00 2.000e+00
 1.000e+00 1.000e+00 2.000e+00 0.000e+00 1.000e+00 1.000e+00]","[2.000e+00 6.900e+01 1.000e+00 1.000e+00 4.747e+03 0.000e+00 2.000e+00
 1.000e+00 1.000e+00 1.000e+00 2.000e+00 1.000e+00 0.000e+00 2.000e+00
 1.000e+00 1.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00]"
3,sat,3,0,0,0,0,0.7,0.0,0.7,0,0.7,0.537,0.67,0,0.0,0.67,1,1,0.7067,1.0,-,"[2.00e+00 8.00e+01 0.00e+00 9.00e+00 4.83e+03 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 1.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 1.00e+00 1.00e+00]","[2.00e+00 8.00e+01 0.00e+00 9.00e+00 4.83e+03 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 1.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 0.00e+00 0.00e+00]"
4,sat,4,0,0,0,0,0.7,0.0,0.7,0,0.7,0.018,0.15,0,0.0,0.15,1,1,0.7067,1.0,-,"[0.00e+00 1.00e+01 0.00e+00 0.00e+00 3.76e+03 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 1.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.00e+00 0.00e+00 1.00e+00 1.00e+00]","[0.00e+00 1.00e+01 0.00e+00 0.00e+00 3.76e+03 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 1.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.00e+00 0.00e+00 0.00e+00 0.00e+00]"
5,sat,5,0,0,0,0,0.7,0.0,0.7,0,0.7,1.491,1.62,0,0.0,1.62,1,1,0.7067,1.0,-,"[0.000e+00 2.700e+01 0.000e+00 0.000e+00 1.749e+03 0.000e+00 0.000e+00
 3.000e+00 2.000e+00 4.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00]","[0.000e+00 2.700e+01 0.000e+00 0.000e+00 1.749e+03 0.000e+00 0.000e+00
 3.000e+00 2.000e+00 4.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00]"
6,unsat,5,1,0,0,0,0.7,0.0,0.7,0,0.7,0.281,0.41,0,0.0,0.41,0,0,0.7067,1.0,-,,
7,sat,6,1,0,0,0,0.7,0.0,0.7,0,0.7,0.807,0.94,0,0.0,0.94,1,1,0.7067,1.0,-,"[2.000e+00 2.200e+01 0.000e+00 0.000e+00 6.379e+03 0.000e+00 0.000e+00
 4.000e+00 0.000e+00 4.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 3.000e+00 2.000e+00 0.000e+00 1.000e+00 1.000e+00]","[2.000e+00 2.200e+01 0.000e+00 0.000e+00 6.379e+03 0.000e+00 0.000e+00
 4.000e+00 0.000e+00 4.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 3.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00]"
8,sat,7,1,0,0,0,0.7,0.0,0.7,0,0.7,0.584,0.71,0,0.0,0.71,1,1,0.7067,1.0,-,"[2.00e+00 2.20e+01 2.00e+00 0.00e+00 6.31e+03 0.00e+00 2.00e+00 3.00e+00
 0.00e+00 4.00e+00 2.00e+00 1.00e+00 2.00e+00 0.00e+00 1.00e+00 0.00e+00
 2.00e+00 0.00e+00 1.00e+00 1.00e+00]","[2.00e+00 2.20e+01 2.00e+00 0.00e+00 6.31e+03 0.00e+00 2.00e+00 3.00e+00
 0.00e+00 4.00e+00 2.00e+00 1.00e+00 2.00e+00 0.00e+00 1.00e+00 0.00e+00
 2.00e+00 0.00e+00 0.00e+00 0.00e+00]"
9,unsat,7,2,0,0,0,0.7,0.0,0.7,0,0.7,0.241,0.37,0,0.0,0.37,0,0,0.7067,1.0,-,,
10,sat,8,2,0,0,0,0.7,0.0,0.7,0,0.7,0.225,0.35,0,0.0,0.35,1,1,0.7067,1.0,-,"[  0.  19.   0.   0. 419.   0.   0.   4.   0.   4.   2.   0.   0.   0.
   4.   0.   1.   0.   1.   1.]","[  0.  19.   0.   0. 419.   0.   0.   4.   0.   4.   2.   0.   0.   0.
   4.   0.   1.   0.   0.   0.]"
