,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,24,4,13,7,10,3,0.645,0.055,43.46,32.524875,76.18
4,17,3,8,6,8,2,0.833447059,0.022129412,63.50452941,41.778,106.0452941
5,31,27,0,4,8,4,0.753941935,0.020867742,44.62748387,16.76467742,61.72129032
6,9,2,0,7,8,1,0.778322222,0.097855556,98.97622222,82.21122222,205.1711111
7,9,0,0,9,9,0,0.770022222,0.092177778,100.1971111,100.1075556,205.4988889
8,22,8,6,8,10,2,0.567272727,0.045454545,46.65145455,39.40490909,86.26181818
9,13,0,7,6,11,5,0.625230769,0.082461538,86.51246154,52.15207692,141.1853846
10,103,80,23,0,2,2,0.236516505,0,16.98693204,0.42323301,17.52796117
11,332,161,171,0,1,1,0.198094277,0,5.281078313,0.170039157,5.560240964
1,31,10,18,3,10,7,0.31646129,0.032254839,44.92564516,14.97977419,60.0716129
2,9,0,0,9,9,0,0.121944444,0.037955556,100.1505556,100.1306667,200.7266667
3,21,0,12,9,9,0,0.34057619,0.0093,44.90428571,42.90795238,88.07285714
