Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.3876,0.0,0.3876,0.3178,0.7054,100.39,122.26,100.409,100.55,222.82,0,0,0.8519,1.0,-,,
2,unknown,0,0,2,1,0,0.5116,0.0,0.5116,0.3023,0.814,100.253,117.49,100.068,100.14,217.63,0,0,0.8519,1.0,-,,
3,sat,1,0,2,1,1,0.876,0.0,0.876,0.0233,0.8992,100.061,101.46,25.776,25.83,127.29,1,1,0.8519,1.0,-,[100.   4.  15.   2.   0.  10.   5.   1.   0.  15.   2.  61.   8.],[100.   4.  15.   2.   0.  10.   5.   2.   0.  15.   2.  61.   8.]
4,unknown,1,0,3,1,0,0.8217,0.0,0.8217,0.0388,0.8605,100.078,102.09,100.04,100.1,202.19,0,0,0.8519,1.0,-,,
5,unknown,1,0,4,1,0,0.814,0.0,0.814,0.0388,0.8527,100.025,101.76,100.094,100.16,201.92,0,0,0.8519,1.0,-,,
6,unknown,1,0,5,1,0,0.5969,0.0,0.5969,0.2248,0.8217,100.312,112.94,100.148,100.23,213.16,0,0,0.8519,1.0,-,,
7,unknown,1,0,6,1,0,0.8682,0.0,0.8682,0.0233,0.8915,100.006,101.88,100.122,100.18,202.06,0,0,0.8519,1.0,-,,
8,unknown,1,0,7,1,0,0.4341,0.0,0.4341,0.3256,0.7597,100.467,121.57,100.068,100.18,221.75,0,0,0.8519,1.0,-,,
9,sat,2,0,7,0,0,0.8682,0.0078,0.876,0,0.876,79.685,80.89,0,0.0,80.89,1,1,0.8519,1.0,-,[70.  6.  9. 12.  6.  3.  0.  3.  1. 11.  7. 81. 10.],[70.  6.  9. 12.  6.  3.  0.  4.  1. 11.  7. 81. 10.]
10,sat,3,0,7,1,1,0.8992,0.0,0.8992,0.0078,0.907,100.169,100.44,13.848,13.9,114.34,1,1,0.8519,1.0,-,[95.  6. 14. 11.  2. 13.  5.  1.  0. 19. 10. 81. 35.],[95.  6. 14. 11.  2. 13.  5.  2.  0. 19. 10. 81. 35.]
