Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.8039,0.0,0.8039,0,0.8039,9.336,9.61,0,0.0,9.61,1,1,0.8452,1.0,-,[39.  2. 15. 12.  6.  4.  5.  4.  0. 10.  4. 70. 29.],[39.  2. 15. 12.  6.  4.  5.  4.  1. 10.  4. 70. 29.]
2,sat,2,0,0,1,1,0.6078,0.0,0.6078,0.1176,0.7255,100.035,100.65,28.814,28.87,129.52,1,1,0.8452,1.0,-,[38.  0.  2. 12.  4.  0.  2.  0.  1.  0. 10. 21. 19.],[38.  0.  2. 12.  4.  0.  2.  0.  0.  0. 10. 21. 19.]
3,sat,3,0,0,0,0,0.7451,0.0,0.7451,0,0.7451,95.333,95.62,0,0.0,95.62,1,1,0.8452,1.0,-,[59.  5. 12. 11.  3.  0.  5.  2.  1. 10.  0. 30.  7.],[59.  5. 12. 11.  3.  0.  5.  2.  0. 10.  0. 30.  7.]
4,unknown,3,0,1,1,0,0.7255,0.0,0.7255,0.0196,0.7451,100.088,100.3,100.059,100.11,200.4,0,0,0.8452,1.0,-,,
5,sat,4,0,1,0,0,0.8039,0.0,0.8039,0,0.8039,8.406,8.69,0,0.0,8.69,1,1,0.8452,1.0,-,[90.  1.  9. 12.  4. 11.  2.  2.  1.  0. 10. 41. 16.],[90.  1.  9. 12.  4. 11.  2.  2.  0.  0. 10. 41. 16.]
6,sat,5,0,1,0,0,0.6667,0.0,0.6667,0,0.6667,64.828,65.27,0,0.0,65.27,1,1,0.8452,1.0,-,[10.  6. 15.  1.  0. 10.  3.  2.  1.  3. 10. 81. 38.],[10.  6. 15.  1.  0. 10.  3.  2.  0.  3. 10. 81. 38.]
7,sat,6,0,1,0,0,0.7647,0.0,0.7647,0,0.7647,38.145,38.43,0,0.0,38.43,1,1,0.8452,1.0,-,[37.  6. 14. 11.  6.  2.  0.  4.  0. 11. 10. 24. 40.],[37.  6. 14. 11.  6.  2.  0.  4.  1. 11. 10. 24. 40.]
8,sat,7,0,1,0,0,0.7843,0.0,0.7843,0,0.7843,8.817,9.09,0,0.0,9.09,1,1,0.8452,1.0,-,[26.  0. 15. 11.  5. 13.  4.  0.  1.  0. 10. 61. 26.],[26.  0. 15. 11.  5. 13.  4.  0.  0.  0. 10. 61. 26.]
9,sat,8,0,1,0,0,0.8627,0.0,0.8627,0,0.8627,15.887,16.0,0,0.0,16.0,1,1,0.8452,1.0,-,[89.  6. 15. 11.  2.  3.  0.  4.  1. 17. 12. 70. 39.],[89.  6. 15. 11.  2.  3.  0.  4.  0. 17. 12. 70. 39.]
10,sat,9,0,1,0,0,0.7647,0.0,0.7647,0,0.7647,58.923,59.13,0,0.0,59.13,1,1,0.8452,1.0,-,[89.  0.  0.  1.  4.  9.  5.  3.  1.  1. 10. 11. 40.],[89.  0.  0.  1.  4.  9.  5.  3.  0.  1. 10. 11. 40.]
11,sat,10,0,1,0,0,0.7843,0.0,0.7843,0,0.7843,9.117,9.47,0,0.0,9.47,1,1,0.8452,1.0,-,[20.  6. 15.  1.  0. 11.  5.  4.  1. 18.  9. 91. 38.],[20.  6. 15.  1.  0. 11.  5.  4.  0. 18.  9. 91. 38.]
12,sat,11,0,1,0,0,0.8431,0.0,0.8431,0,0.8431,16.745,16.93,0,0.0,16.93,1,1,0.8452,1.0,-,[30.  1. 15.  5.  0.  0.  5.  3.  1. 15.  8. 84. 40.],[30.  1. 15.  5.  0.  0.  5.  3.  0. 15.  8. 84. 40.]
13,sat,12,0,1,1,1,0.549,0.0,0.549,0.0588,0.6078,100.146,100.61,67.037,67.11,167.72,1,1,0.8452,1.0,-,[20.  0.  4. 16.  1.  4.  0.  0.  0.  0. 18.  1. 39.],[20.  0.  4. 16.  1.  4.  0.  0.  1.  0. 18.  1. 39.]
14,sat,13,0,1,0,0,0.8627,0.0,0.8627,0,0.8627,2.811,3.0,0,0.0,3.0,1,1,0.8452,1.0,-,[98.  1. 10.  1.  6.  3.  0.  0.  0. 18.  0. 98. 20.],[98.  1. 10.  1.  6.  3.  0.  0.  1. 18.  0. 98. 20.]
15,sat,14,0,1,0,0,0.8039,0.0,0.8039,0,0.8039,14.744,15.02,0,0.0,15.02,1,1,0.8452,1.0,-,[49.  4. 15. 14.  6.  9.  4.  2.  1. 10.  5. 40. 40.],[49.  4. 15. 14.  6.  9.  4.  2.  0. 10.  5. 40. 40.]
16,unknown,14,0,2,1,0,0.4118,0.0,0.4118,0.1373,0.549,100.07,100.93,100.024,100.1,201.03,0,0,0.8452,1.0,-,,
17,sat,15,0,2,0,0,0.8039,0.0,0.8039,0,0.8039,5.33,5.52,0,0.0,5.52,1,1,0.8452,1.0,-,[49.  0.  1.  8.  6.  9.  5.  4.  1. 10.  2. 70. 29.],[49.  0.  1.  8.  6.  9.  5.  4.  0. 10.  2. 70. 29.]
18,sat,16,0,2,0,0,0.8627,0.0,0.8627,0,0.8627,3.275,3.46,0,0.0,3.46,1,1,0.8452,1.0,-,[67.  6.  8. 11.  0.  0.  5.  3.  1. 17.  9. 91. 39.],[67.  6.  8. 11.  0.  0.  5.  3.  0. 17.  9. 91. 39.]
19,sat,17,0,2,0,0,0.8235,0.0,0.8235,0,0.8235,13.86,13.97,0,0.0,13.97,1,1,0.8452,1.0,-,[47.  3.  9.  2.  0. 13.  0.  0.  1. 14. 12. 59. 40.],[47.  3.  9.  2.  0. 13.  0.  0.  0. 14. 12. 59. 40.]
20,sat,18,0,2,0,0,0.7647,0.0,0.7647,0,0.7647,22.37,22.73,0,0.0,22.73,1,1,0.8452,1.0,-,[100.   0.  10.   3.   0.   4.   0.   0.   1.   9.   9.  31.   0.],[100.   0.  10.   3.   0.   4.   0.   0.   0.   9.   9.  31.   0.]
21,sat,19,0,2,0,0,0.8235,0.0,0.8235,0,0.8235,13.77,13.97,0,0.0,13.97,1,1,0.8452,1.0,-,[80.  5. 12.  1.  0. 13.  1.  2.  1.  1. 19. 52. 39.],[80.  5. 12.  1.  0. 13.  1.  2.  0.  1. 19. 52. 39.]
22,sat,20,0,2,0,0,0.7843,0.0,0.7843,0,0.7843,45.814,46.02,0,0.0,46.02,1,1,0.8452,1.0,-,[90.  0. 11. 11.  3. 10.  4.  0.  0.  0.  8. 11. 40.],[90.  0. 11. 11.  3. 10.  4.  0.  1.  0.  8. 11. 40.]
23,sat,21,0,2,0,0,0.7843,0.0,0.7843,0,0.7843,9.808,10.29,0,0.0,10.29,1,1,0.8452,1.0,-,[69.  1. 14.  8.  6. 12.  1.  1.  0. 10. 12. 27. 39.],[69.  1. 14.  8.  6. 12.  1.  1.  1. 10. 12. 27. 39.]
24,unknown,21,0,3,1,0,0.6863,0.0,0.6863,0.0588,0.7451,100.044,100.56,100.01,100.06,200.62,0,0,0.8452,1.0,-,,
25,sat,22,0,3,1,1,0.6667,0.0,0.6667,0.098,0.7647,100.087,100.6,10.608,10.66,111.26,1,1,0.8452,1.0,-,[51.  6.  1. 11.  6.  9.  0.  0.  0.  9.  0.  6. 30.],[51.  6.  1. 11.  6.  9.  0.  0.  1.  9.  0.  6. 30.]
26,unknown,22,0,4,1,0,0.6667,0.0,0.6667,0.0588,0.7255,100.039,100.41,100.018,100.07,200.48,0,0,0.8452,1.0,-,,
27,sat,23,0,4,0,0,0.8235,0.0,0.8235,0,0.8235,8.09,8.36,0,0.0,8.36,1,1,0.8452,1.0,-,[76.  0. 11.  6.  6. 10.  4.  0.  0. 10. 13. 25. 31.],[76.  0. 11.  6.  6. 10.  4.  0.  1. 10. 13. 25. 31.]
28,sat,24,0,4,0,0,0.7843,0.0,0.7843,0,0.7843,40.284,40.49,0,0.0,40.49,1,1,0.8452,1.0,-,[69.  2.  1.  3.  2. 12.  0.  0.  1. 11.  4. 60.  9.],[69.  2.  1.  3.  2. 12.  0.  0.  0. 11.  4. 60.  9.]
29,sat,25,0,4,0,0,0.8627,0.0,0.8627,0,0.8627,6.998,7.11,0,0.0,7.11,1,1,0.8452,1.0,-,[100.   4.  10.  11.   1.   1.   2.   1.   0.  14.   5.  38.  33.],[100.   4.  10.  11.   1.   1.   2.   1.   1.  14.   5.  38.  33.]
30,sat,26,0,4,0,0,0.7843,0.0,0.7843,0,0.7843,70.203,70.33,0,0.0,70.33,1,1,0.8452,1.0,-,[100.   5.  14.  11.   6.  12.   5.   4.   1.  10.  10.  20.   9.],[100.   5.  14.  11.   6.  12.   5.   4.   0.  10.  10.  20.   9.]
