Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.7,0.0,0.7,0,0.7,0.585,0.68,0,0.0,0.68,1,1,0.7067,1.0,-,"[2.0e+00 7.0e+01 1.0e+00 9.0e+00 3.8e+03 0.0e+00 2.0e+00 1.0e+00 0.0e+00
 1.0e+00 2.0e+00 1.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 0.0e+00 1.0e+00]","[2.0e+00 7.0e+01 1.0e+00 9.0e+00 3.8e+03 0.0e+00 2.0e+00 1.0e+00 0.0e+00
 1.0e+00 2.0e+00 0.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 0.0e+00 1.0e+00]"
2,sat,2,0,0,0,0,0.7,0.0,0.7,0,0.7,0.205,0.31,0,0.0,0.31,1,1,0.7067,1.0,-,"[0.00e+00 1.70e+01 0.00e+00 9.00e+00 1.11e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 1.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 1.00e+00 1.00e+00]","[0.00e+00 1.70e+01 0.00e+00 9.00e+00 1.11e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 0.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 1.00e+00 1.00e+00]"
3,sat,3,0,0,0,0,0.7,0.0,0.7,0,0.7,3.63,3.73,0,0.0,3.73,1,1,0.7067,1.0,-,"[2.0000e+00 1.0000e+00 0.0000e+00 9.0000e+00 1.6727e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 3.0000e+00 0.0000e+00 1.0000e+00
 1.0000e+00 2.0000e+00 1.0000e+00 2.0000e+00 2.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]","[2.0000e+00 1.0000e+00 0.0000e+00 9.0000e+00 1.6727e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 3.0000e+00 0.0000e+00 0.0000e+00
 1.0000e+00 2.0000e+00 1.0000e+00 2.0000e+00 2.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]"
4,sat,4,0,0,0,0,0.7,0.0,0.7,0,0.7,0.286,0.39,0,0.0,0.39,1,1,0.7067,1.0,-,"[2.0e+00 7.3e+01 2.0e+00 9.0e+00 8.1e+03 2.0e+00 0.0e+00 2.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 1.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]","[2.0e+00 7.3e+01 2.0e+00 9.0e+00 8.1e+03 2.0e+00 0.0e+00 2.0e+00 2.0e+00
 1.0e+00 0.0e+00 0.0e+00 1.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]"
5,sat,5,0,0,0,0,0.7,0.0,0.7,0,0.7,0.684,0.78,0,0.0,0.78,1,1,0.7067,1.0,-,"[1.00e+00 3.20e+01 2.00e+00 8.00e+00 1.09e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 1.00e+00 1.00e+00 2.00e+00 0.00e+00 4.00e+00 3.00e+00
 1.00e+00 0.00e+00 1.00e+00 1.00e+00]","[1.00e+00 3.20e+01 2.00e+00 8.00e+00 1.09e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 1.00e+00 0.00e+00 2.00e+00 0.00e+00 4.00e+00 3.00e+00
 1.00e+00 0.00e+00 1.00e+00 1.00e+00]"
6,sat,6,0,0,0,0,0.7,0.0,0.7,0,0.7,0.586,0.69,0,0.0,0.69,1,1,0.7067,1.0,-,"[2.00e+00 0.00e+00 2.00e+00 0.00e+00 1.03e+04 0.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 2.00e+00 1.00e+00 1.00e+00 0.00e+00 4.00e+00 3.00e+00
 1.00e+00 0.00e+00 0.00e+00 1.00e+00]","[2.00e+00 0.00e+00 2.00e+00 0.00e+00 1.03e+04 0.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 2.00e+00 0.00e+00 1.00e+00 0.00e+00 4.00e+00 3.00e+00
 1.00e+00 0.00e+00 0.00e+00 1.00e+00]"
7,sat,7,0,0,0,0,0.7,0.0,0.7,0,0.7,0.591,0.69,0,0.0,0.69,1,1,0.7067,1.0,-,"[0.0e+00 1.0e+00 2.0e+00 0.0e+00 9.5e+03 2.0e+00 2.0e+00 3.0e+00 2.0e+00
 1.0e+00 1.0e+00 0.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 0.0e+00 1.0e+00]","[0.0e+00 1.0e+00 2.0e+00 0.0e+00 9.5e+03 2.0e+00 2.0e+00 3.0e+00 2.0e+00
 1.0e+00 1.0e+00 1.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 0.0e+00 1.0e+00]"
8,sat,8,0,0,0,0,0.7,0.0,0.7,0,0.7,0.334,0.43,0,0.0,0.43,1,1,0.7067,1.0,-,"[2.0e+00 7.8e+01 0.0e+00 9.0e+00 6.4e+03 2.0e+00 2.0e+00 3.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]","[2.0e+00 7.8e+01 0.0e+00 9.0e+00 6.4e+03 2.0e+00 2.0e+00 3.0e+00 2.0e+00
 1.0e+00 0.0e+00 0.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]"
9,sat,9,0,0,0,0,0.7,0.0,0.7,0,0.7,0.883,0.98,0,0.0,0.98,1,1,0.7067,1.0,-,"[1.0000e+00 0.0000e+00 2.0000e+00 9.0000e+00 1.4906e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00
 2.0000e+00 1.0000e+00 4.0000e+00 1.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 0.0000e+00]","[1.0000e+00 0.0000e+00 2.0000e+00 9.0000e+00 1.4906e+04 2.0000e+00
 2.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00 2.0000e+00 0.0000e+00
 2.0000e+00 1.0000e+00 4.0000e+00 1.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 0.0000e+00]"
10,sat,10,0,0,0,0,0.7,0.0,0.7,0,0.7,0.688,0.79,0,0.0,0.79,1,1,0.7067,1.0,-,"[2.0e+00 8.0e+01 0.0e+00 8.0e+00 6.2e+03 2.0e+00 1.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 1.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]","[2.0e+00 8.0e+01 0.0e+00 8.0e+00 6.2e+03 2.0e+00 1.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 0.0e+00 1.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 1.0e+00 1.0e+00]"
