Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.8218,0.0,0.8218,0.0495,0.8713,100.112,101.33,100.073,100.14,201.47,0,0,0.7467,1.0,-,,
2,unknown,0,0,2,1,0,0.6733,0.0,0.6733,0.0495,0.7228,100.029,102.11,100.059,100.19,202.29,0,0,0.7467,1.0,-,,
3,sat,1,0,2,0,0,0.8416,0.0,0.8416,0,0.8416,98.876,99.68,0,0.0,99.68,1,1,0.7467,1.0,-,"[2.0000e+00 2.0000e+00 0.0000e+00 2.0000e+00 1.8868e+04 0.0000e+00
 2.0000e+00 3.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00
 2.0000e+00 2.0000e+00 4.0000e+00 3.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 0.0000e+00]","[2.0000e+00 2.0000e+00 0.0000e+00 2.0000e+00 1.8868e+04 0.0000e+00
 2.0000e+00 3.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00
 2.0000e+00 2.0000e+00 4.0000e+00 3.0000e+00 1.0000e+00 1.0000e+00
 1.0000e+00 1.0000e+00]"
4,unknown,1,0,3,1,0,0.7822,0.0,0.7822,0.0495,0.8317,100.052,101.29,100.059,100.14,201.43,0,0,0.7467,1.0,-,,
5,unknown,1,0,4,1,0,0.8218,0.0,0.8218,0.0495,0.8713,100.153,101.35,100.07,100.14,201.48,0,0,0.7467,1.0,-,,
6,sat,2,0,4,0,0,0.8416,0.0,0.8416,0,0.8416,69.601,70.41,0,0.0,70.41,1,1,0.7467,1.0,-,"[0.0000e+00 0.0000e+00 2.0000e+00 0.0000e+00 1.6552e+04 0.0000e+00
 1.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 2.0000e+00 1.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 0.0000e+00]","[0.0000e+00 0.0000e+00 2.0000e+00 0.0000e+00 1.6552e+04 0.0000e+00
 1.0000e+00 1.0000e+00 2.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00
 2.0000e+00 1.0000e+00 1.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00
 1.0000e+00 1.0000e+00]"
7,unknown,2,0,5,1,0,0.6238,0.0,0.6238,0.0693,0.6931,100.023,102.13,100.12,100.26,202.4,0,0,0.7467,1.0,-,,
8,unknown,2,0,6,1,0,0.802,0.0,0.802,0.0198,0.8218,100.029,100.84,100.063,100.15,200.99,0,0,0.7467,1.0,-,,
9,unknown,2,0,7,1,0,0.7228,0.0,0.7228,0.0594,0.7822,100.024,101.49,100.023,100.13,201.62,0,0,0.7467,1.0,-,,
10,sat,3,0,7,1,1,0.802,0.0,0.802,0.0297,0.8317,100.029,101.05,51.134,51.23,152.29,1,1,0.7467,1.0,-,"[0.000e+00 6.000e+00 0.000e+00 0.000e+00 6.062e+03 0.000e+00 0.000e+00
 4.000e+00 0.000e+00 1.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 1.000e+00]","[0.000e+00 6.000e+00 0.000e+00 0.000e+00 6.062e+03 0.000e+00 0.000e+00
 4.000e+00 0.000e+00 1.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00]"
11,sat,4,0,7,1,1,0.8218,0.0,0.8218,0.0396,0.8614,100.023,101.04,80.821,80.89,181.93,1,1,0.7467,1.0,-,"[1.0e+00 8.0e+01 2.0e+00 9.0e+00 9.6e+03 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 1.0e+00 2.0e+00 4.0e+00 3.0e+00 2.0e+00 1.0e+00
 0.0e+00 0.0e+00]","[1.0e+00 8.0e+01 2.0e+00 9.0e+00 9.6e+03 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 1.0e+00 2.0e+00 4.0e+00 3.0e+00 2.0e+00 1.0e+00
 0.0e+00 1.0e+00]"
