Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.5217,0.0435,0.5652,0,0.5652,1.408,1.66,0,0.0,1.66,0,0,0.8423,1.0,-,,
2,unknown,0,1,1,1,0,0.1304,0.0,0.1304,0.0217,0.1522,200.083,200.39,200.101,200.19,400.58,0,0,0.8423,1.0,-,,
3,unsat,0,2,1,0,0,0.5217,0.0435,0.5652,0,0.5652,1.154,1.41,0,0.0,1.41,0,0,0.8423,1.0,-,,
4,unsat,0,3,1,0,0,0.5,0.0,0.5,0,0.5,3.719,3.99,0,0.0,3.99,0,0,0.8423,1.0,-,,
5,unsat,0,4,1,0,0,0.5217,0.0435,0.5652,0,0.5652,1.924,2.19,0,0.0,2.19,0,0,0.8423,1.0,-,,
6,unsat,0,5,1,0,0,0.5,0.0,0.5,0,0.5,4.387,4.66,0,0.0,4.66,0,0,0.8423,1.0,-,,
7,unsat,0,6,1,0,0,0.5,0.0,0.5,0,0.5,5.749,6.03,0,0.0,6.03,0,0,0.8423,1.0,-,,
8,unsat,0,7,1,0,0,0.2174,0.0,0.2174,0,0.2174,133.806,134.13,0,0.0,134.13,0,0,0.8423,1.0,-,,
9,unsat,0,8,1,0,0,0.5217,0.0435,0.5652,0,0.5652,1.075,1.35,0,0.0,1.35,0,0,0.8423,1.0,-,,
10,unsat,0,9,1,0,0,0.2174,0.0217,0.2391,0,0.2391,127.138,127.57,0,0.0,127.57,0,0,0.8423,1.0,-,,
11,sat,1,9,1,1,1,0.1522,0.0,0.1522,0.0217,0.1739,200.109,200.42,120.8,120.89,321.31,1,1,0.8423,1.0,-,[100.   6.   2.   8.   6.  11.   5.   0.   0.   4.  19.  87.   9.],[100.   6.   2.   8.   6.  11.   5.   4.   0.   4.  19.  87.   9.]
12,sat,2,9,1,1,1,0.1522,0.0,0.1522,0.0217,0.1739,200.037,200.36,106.911,107.01,307.36,1,1,0.8423,1.0,-,[88.  0.  6.  6.  6. 12.  0.  1.  0.  0. 19. 89. 11.],[88.  0.  6.  6.  6. 12.  0.  4.  0.  0. 19. 89. 11.]
13,unsat,2,10,1,0,0,0.4565,0.0,0.4565,0,0.4565,2.19,2.48,0,0.0,2.48,0,0,0.8423,1.0,-,,
