Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.912,0.0,0.912,0,0.912,0.061,0.44,0,0.0,0.44,0,0,0.892,1.0,-,,
2,unsat,0,2,0,0,0,0.912,0.0,0.912,0,0.912,0.034,0.35,0,0.0,0.35,0,0,0.892,1.0,-,,
3,unsat,0,3,0,0,0,0.912,0.0,0.912,0,0.912,0.033,0.33,0,0.0,0.33,0,0,0.892,1.0,-,,
4,unsat,0,4,0,0,0,0.912,0.0,0.912,0,0.912,0.034,0.21,0,0.0,0.21,0,0,0.892,1.0,-,,
5,unsat,0,5,0,0,0,0.904,0.0,0.904,0,0.904,0.043,0.22,0,0.0,0.22,0,0,0.892,1.0,-,,
6,unsat,0,6,0,0,0,0.872,0.0,0.872,0,0.872,0.078,0.27,0,0.0,0.27,0,0,0.892,1.0,-,,
7,unsat,0,7,0,0,0,0.896,0.0,0.896,0,0.896,0.05,0.35,0,0.0,0.35,0,0,0.892,1.0,-,,
8,unsat,0,8,0,0,0,0.872,0.0,0.872,0,0.872,0.078,0.4,0,0.0,0.4,0,0,0.892,1.0,-,,
9,unsat,0,9,0,0,0,0.896,0.0,0.896,0,0.896,0.05,0.36,0,0.0,0.36,0,0,0.892,1.0,-,,
10,unsat,0,10,0,0,0,0.896,0.0,0.896,0,0.896,0.049,0.23,0,0.0,0.23,0,0,0.892,1.0,-,,
11,unknown,0,10,1,1,0,0.696,0.0,0.696,0.096,0.792,200.088,201.66,200.022,200.09,401.75,0,0,0.892,1.0,-,,
12,unsat,0,11,1,0,0,0.904,0.0,0.904,0,0.904,0.041,0.22,0,0.0,0.22,0,0,0.892,1.0,-,,
13,unsat,0,12,1,0,0,0.896,0.0,0.896,0,0.896,0.048,0.35,0,0.0,0.35,0,0,0.892,1.0,-,,
14,unsat,0,13,1,0,0,0.904,0.0,0.904,0,0.904,0.041,0.22,0,0.0,0.22,0,0,0.892,1.0,-,,
15,unsat,0,14,1,0,0,0.912,0.0,0.912,0,0.912,0.033,0.33,0,0.0,0.33,0,0,0.892,1.0,-,,
16,unsat,0,15,1,0,0,0.88,0.0,0.88,0,0.88,0.068,0.37,0,0.0,0.37,0,0,0.892,1.0,-,,
17,sat,1,15,1,1,1,0.816,0.0,0.816,0.032,0.848,200.012,200.57,166.68,166.73,367.3,1,1,0.892,1.0,-,"[1.000e+00 1.000e+01 2.000e+00 5.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 9.000e+00 3.000e+00 1.314e+03 1.000e+00 4.200e+01 5.200e+01
 0.000e+00 0.000e+00]","[0.000e+00 1.000e+01 2.000e+00 5.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 9.000e+00 3.000e+00 1.314e+03 1.000e+00 4.200e+01 5.200e+01
 0.000e+00 0.000e+00]"
18,unsat,1,16,1,1,1,0.768,0.0,0.768,0.288,0.832,200.168,201.97,0.806,0.86,202.84,0,0,0.892,1.0,-,,
19,unsat,1,17,1,0,0,0.896,0.0,0.896,0,0.896,0.051,0.24,0,0.0,0.24,0,0,0.892,1.0,-,,
20,unsat,1,18,1,0,0,0.896,0.0,0.896,0,0.896,0.052,0.25,0,0.0,0.25,0,0,0.892,1.0,-,,
21,unsat,1,19,1,0,0,0.904,0.0,0.904,0,0.904,0.047,0.39,0,0.0,0.39,0,0,0.892,1.0,-,,
22,unknown,1,19,2,1,0,0.784,0.0,0.784,0.032,0.816,200.381,201.01,200.162,200.23,401.24,0,0,0.892,1.0,-,,
23,unsat,1,20,2,0,0,0.896,0.0,0.896,0,0.896,0.048,0.34,0,0.0,0.34,0,0,0.892,1.0,-,,
24,unsat,1,21,2,0,0,0.896,0.0,0.896,0,0.896,0.049,0.35,0,0.0,0.35,0,0,0.892,1.0,-,,
25,unsat,1,22,2,0,0,0.904,0.0,0.904,0,0.904,0.041,0.34,0,0.0,0.34,0,0,0.892,1.0,-,,
26,unsat,1,23,2,0,0,0.896,0.0,0.896,0,0.896,0.048,0.23,0,0.0,0.23,0,0,0.892,1.0,-,,
27,unknown,1,23,3,1,0,0.68,0.0,0.68,0.088,0.768,200.023,202.03,200.052,200.12,402.15,0,0,0.892,1.0,-,,
