Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.632,0.0,0.632,0.024,0.632,200.331,200.8,200.071,200.34,401.15,0,0,0.6933,1.0,-,,
2,unknown,0,0,2,1,0,0.376,0.0,0.376,0.064,0.44,200.3,204.43,202.683,203.16,407.58,0,0,0.6933,1.0,-,,
3,unsat,0,1,2,0,0,0.616,0.0,0.616,0,0.616,0.071,0.63,0,0.0,0.63,0,0,0.6933,1.0,-,,
4,unknown,0,1,3,1,0,0.616,0.0,0.616,0.04,0.632,200.155,200.69,200.865,201.14,401.82,0,0,0.6933,1.0,-,,
5,unknown,0,1,4,1,0,0.632,0.0,0.632,0.024,0.632,200.087,200.55,200.122,200.39,400.94,0,0,0.6933,1.0,-,,
6,unknown,0,1,5,1,0,0.632,0.0,0.632,0.024,0.632,200.613,201.08,200.338,200.61,401.69,0,0,0.6933,1.0,-,,
7,unknown,0,1,6,1,0,0.624,0.0,0.624,0.032,0.632,200.204,200.7,200.063,200.33,401.04,0,0,0.6933,1.0,-,,
8,unknown,0,1,7,1,0,0.616,0.0,0.616,0.04,0.632,200.164,200.7,201.85,202.12,402.82,0,0,0.6933,1.0,-,,
9,unsat,0,2,7,0,0,0.616,0.0,0.616,0,0.616,0.07,0.62,0,0.0,0.62,0,0,0.6933,1.0,-,,
10,unknown,0,2,8,1,0,0.632,0.0,0.632,0.024,0.632,200.761,201.23,200.542,200.81,402.04,0,0,0.6933,1.0,-,,
11,unsat,0,3,8,0,0,0.624,0.0,0.624,0,0.624,0.069,0.61,0,0.0,0.61,0,0,0.6933,1.0,-,,
12,unknown,0,3,9,1,0,0.624,0.0,0.624,0.04,0.64,200.164,200.69,200.008,200.27,400.96,0,0,0.6933,1.0,-,,
