,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,223,55,160,8,11,3,0.77632287,0.006278027,11.92933184,4.392726457,16.4506278
4,67,16,37,14,14,0,0.88991791,0.006501493,33.89147761,20.90544776,55.22850746
5,115,75,32,8,11,3,0.817211304,0.003749565,22.90266957,8.281417391,31.38608696
6,25,7,3,15,16,1,0.874024,0.042984,77.08212,61.2542,150.408
7,23,8,1,14,19,5,0.846986957,0.037086957,87.10565217,68.89026087,158.7913043
8,111,52,47,12,14,2,0.684684685,0.011531532,21.30367568,11.15859459,32.60558559
9,38,0,26,12,19,7,0.729052632,0.042947368,57.15105263,36.46505263,95.23736842
10,448,179,266,3,4,1,0.324044643,0,7.249845982,0.677446429,8.047321429
11,6800,1624,5176,0,0,0,0.261818794,0,0.424020882,0,0.529416176
1,108,23,81,4,17,13,0.400362963,0.006611111,25.53975926,7.688537037,33.36759259
2,18,0,0,18,18,0,0.140933333,0.032533333,100.1185,100.1684444,200.7522222
3,68,0,50,18,18,0,0.417833824,0.006705882,28.21379412,26.51486765,54.97485294
