Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.8806,0.005,0.8856,0.0448,0.9303,100.041,106.79,100.043,100.1,206.89,0,0,0.8486,1.0,-,,
2,unknown,0,0,2,1,0,0.9303,0.0,0.9303,0.01,0.9403,100.025,103.76,100.082,100.13,203.89,0,0,0.8486,1.0,-,,
3,sat,1,0,2,1,1,0.9154,0.005,0.9204,0.0249,0.9453,100.101,105.28,30.196,30.24,135.52,1,1,0.8486,1.0,-,[31.  0. 14.  5.  6.  6.  0.  0.  1. 11. 13. 43. 18.],[31.  0. 14.  5.  6.  6.  0.  1.  1. 11. 13. 43. 18.]
4,unknown,1,0,3,1,0,0.8806,0.0,0.8806,0.0249,0.9055,100.046,108.44,100.088,100.15,208.6,0,0,0.8486,1.0,-,,
5,sat,2,0,3,0,0,0.9353,0.0,0.9353,0,0.9353,58.79,62.56,0,0.0,62.56,1,1,0.8486,1.0,-,[30.  5. 13. 13.  0.  0.  5.  2.  1.  6.  9. 67. 29.],[30.  5. 13. 13.  0.  0.  5.  3.  1.  6.  9. 67. 29.]
6,unknown,2,0,4,1,0,0.9254,0.005,0.9303,0.0149,0.9453,100.019,103.98,100.069,100.11,204.09,0,0,0.8486,1.0,-,,
7,unknown,2,0,5,1,0,0.8408,0.0,0.8408,0.0597,0.9005,100.008,117.48,100.027,100.1,217.59,0,0,0.8486,1.0,-,,
8,sat,3,0,5,0,0,0.9204,0.01,0.9303,0,0.9303,23.311,27.39,0,0.0,27.39,1,1,0.8486,1.0,-,[33.  3.  5.  7.  6. 11.  4.  4.  1. 12. 19. 19. 19.],[33.  3.  5.  7.  6. 11.  4.  3.  1. 12. 19. 19. 19.]
9,sat,4,0,5,0,0,0.9403,0.0,0.9403,0,0.9403,13.825,15.67,0,0.0,15.67,1,1,0.8486,1.0,-,[35.  3. 11.  7.  5. 11.  5.  4.  1. 12.  3. 53. 23.],[35.  3. 11.  7.  5. 11.  5.  3.  1. 12.  3. 53. 23.]
10,sat,5,0,5,0,0,0.9403,0.005,0.9453,0,0.9453,21.286,25.04,0,0.0,25.04,1,1,0.8486,1.0,-,[31.  6.  0.  6.  6.  0.  0.  0.  0. 11. 19. 93. 25.],[31.  6.  0.  6.  6.  0.  0.  4.  0. 11. 19. 93. 25.]
11,unknown,5,0,6,1,0,0.6169,0.0,0.6169,0.1741,0.791,100.343,150.36,100.065,100.21,250.57,0,0,0.8486,1.0,-,,
12,unknown,5,0,7,1,0,0.9303,0.0,0.9303,0.0149,0.9453,100.122,104.07,100.065,100.11,204.18,0,0,0.8486,1.0,-,,
13,unsat,5,1,7,0,0,0.9204,0.005,0.9254,0,0.9254,78.907,80.49,0,0.0,80.49,0,0,0.8486,1.0,-,,
14,unknown,5,1,8,1,0,0.5423,0.0,0.5423,0.3184,0.8607,100.457,182.53,100.154,100.25,282.78,0,0,0.8486,1.0,-,,
15,unknown,5,1,9,1,0,0.8905,0.01,0.9005,0.0348,0.9353,100.165,110.88,100.016,100.06,210.95,0,0,0.8486,1.0,-,,
16,unknown,5,1,10,1,0,0.8955,0.005,0.9005,0.0149,0.9154,100.047,103.99,100.025,100.09,204.08,0,0,0.8486,1.0,-,,
17,sat,6,1,10,0,0,0.9502,0.0,0.9502,0,0.9502,6.208,8.0,0,0.0,8.0,1,1,0.8486,1.0,-,[35.  4.  3.  7.  6. 13.  5.  3.  1. 12.  5. 54. 34.],[35.  4.  3.  7.  6. 13.  5.  4.  1. 12.  5. 54. 34.]
18,unknown,6,1,11,1,0,0.8856,0.01,0.8955,0.0149,0.9104,100.318,105.73,100.053,100.12,205.85,0,0,0.8486,1.0,-,,
19,unknown,6,1,12,1,0,0.9154,0.0,0.9154,0.01,0.9254,100.015,101.88,100.019,100.08,201.96,0,0,0.8486,1.0,-,,
20,unknown,6,1,13,1,0,0.8706,0.005,0.8756,0.0348,0.9104,100.048,103.89,100.145,100.22,204.11,0,0,0.8486,1.0,-,,
21,sat,7,1,13,0,0,0.9453,0.0,0.9453,0,0.9453,12.69,14.71,0,0.0,14.71,1,1,0.8486,1.0,-,[34.  6. 15. 15.  6. 13.  3.  3.  1. 12.  4. 48. 24.],[34.  6. 15. 15.  6. 13.  3.  4.  1. 12.  4. 48. 24.]
22,unknown,7,1,14,1,0,0.6269,0.0,0.6269,0.204,0.8308,100.622,156.75,100.262,100.39,257.14,0,0,0.8486,1.0,-,,
23,unsat,7,2,14,0,0,0.9254,0.0,0.9254,0,0.9254,81.508,83.35,0,0.0,83.35,0,0,0.8486,1.0,-,,
24,unsat,7,3,14,0,0,0.9453,0.0,0.9453,0,0.9453,28.091,29.7,0,0.0,29.7,0,0,0.8486,1.0,-,,
25,unknown,7,3,15,1,0,0.8159,0.0,0.8159,0.0746,0.8905,100.06,114.96,100.046,100.13,215.09,0,0,0.8486,1.0,-,,
