Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.009,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
2,unsat,0,2,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
3,sat,1,2,0,0,0,0.9604,0.0,0.9604,0,0.9604,0.475,0.63,0,0.0,0.63,1,1,0.8822,1.0,-,"[  0.   2.   0.   2.   1.   1.   1.   0.   0.   2. 176.  -2.  10. 382.
   6.   2.]","[  1.   2.   0.   2.   1.   1.   1.   0.   0.   2. 176.  -2.  10. 382.
   6.   2.]"
4,unsat,1,3,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.009,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
5,unsat,1,4,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
6,unsat,1,5,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
7,unsat,1,6,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
8,unsat,1,7,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
9,unsat,1,8,0,0,0,0.9505,0.0,0.9505,0,0.9505,2.235,2.61,0,0.0,2.61,0,0,0.8822,1.0,-,,
10,unsat,1,9,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
11,sat,2,9,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.04,0.19,0,0.0,0.19,1,1,0.8822,1.0,-,"[  0.   2.   0.   0.   1.   0.   1.   1.  11.   0. 890.   1.  13. 596.
   7.   0.]","[  1.   2.   0.   0.   1.   0.   1.   1.  11.   0. 890.   1.  13. 596.
   7.   0.]"
12,unsat,2,10,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
13,unsat,2,11,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.009,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
14,unsat,2,12,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
15,unsat,2,13,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
16,unsat,2,14,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
17,sat,3,14,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.025,0.17,0,0.0,0.17,1,1,0.8822,1.0,-,"[  0.   2.   0.   1.   1.   0.   1.   1.  10.   0. 910.  -2.  40. 917.
   7.   0.]","[  1.   2.   0.   1.   1.   0.   1.   1.  10.   0. 910.  -2.  40. 917.
   7.   0.]"
18,sat,4,14,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.021,0.17,0,0.0,0.17,1,1,0.8822,1.0,-,"[  1.   2.   2.   5.   1.   1.   1.   1.  11.   0. 420.  -1.  16. 629.
   2.   2.]","[  0.   2.   2.   5.   1.   1.   1.   1.  11.   0. 420.  -1.  16. 629.
   2.   2.]"
19,unsat,4,15,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
20,unsat,4,16,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
21,unsat,4,17,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
22,unsat,4,18,0,0,0,0.9703,0.0,0.9703,0,0.9703,0.052,0.2,0,0.0,0.2,0,0,0.8822,1.0,-,,
23,unsat,4,19,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
24,unsat,4,20,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
25,unsat,4,21,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.009,0.16,0,0.0,0.16,0,0,0.8822,1.0,-,,
26,unsat,4,22,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
27,unsat,4,23,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
28,unsat,4,24,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.008,0.15,0,0.0,0.15,0,0,0.8822,1.0,-,,
29,sat,5,24,0,0,0,0.9703,0.0,0.9703,0,0.9703,0.332,0.48,0,0.0,0.48,1,1,0.8822,1.0,-,"[  0.   2.   0.   0.   1.   0.   1.   0.   9.   0. 547.  -3.  41. 649.
   4.   0.]","[  1.   2.   0.   0.   1.   0.   1.   0.   9.   0. 547.  -3.  41. 649.
   4.   0.]"
30,sat,6,24,0,0,0,0.9802,0.0,0.9802,0,0.9802,0.016,0.17,0,0.0,0.17,1,1,0.8822,1.0,-,"[  1.   2.   0.   0.   1.   1.   1.   1.  11.   3. 700.   0.  23. 659.
   1.   0.]","[  0.   2.   0.   0.   1.   1.   1.   1.  11.   3. 700.   0.  23. 659.
   1.   0.]"
31,sat,7,24,0,0,0,0.9703,0.0,0.9703,0,0.9703,0.172,0.33,0,0.0,0.33,1,1,0.8822,1.0,-,"[  0.   2.   2.   0.   1.   1.   1.   1.   1.   2. 459.  -2.  32. 661.
   1.   0.]","[  1.   2.   2.   0.   1.   1.   1.   1.   1.   2. 459.  -2.  32. 661.
   1.   0.]"
