Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.632,0.0,0.632,0.024,0.632,100.101,100.48,100.11,100.32,200.8,0,0,0.6933,1.0,-,,
2,unknown,0,0,2,1,0,0.632,0.0,0.632,0.024,0.632,101.336,101.71,100.036,100.24,201.96,0,0,0.6933,1.0,-,,
3,unknown,0,0,3,1,0,0.632,0.0,0.632,0.024,0.632,100.254,100.63,100.019,100.22,200.85,0,0,0.6933,1.0,-,,
4,unknown,0,0,4,1,0,0.632,0.0,0.632,0.024,0.632,100.043,100.42,100.242,100.45,200.87,0,0,0.6933,1.0,-,,
5,unknown,0,0,5,1,0,0.616,0.0,0.616,0.04,0.632,100.046,100.48,100.054,100.26,200.74,0,0,0.6933,1.0,-,,
6,unknown,0,0,6,1,0,0.624,0.0,0.624,0.032,0.632,100.038,100.44,101.279,101.49,201.93,0,0,0.6933,1.0,-,,
7,unknown,0,0,7,1,0,0.632,0.0,0.632,0.024,0.632,100.524,100.9,100.301,100.51,201.41,0,0,0.6933,1.0,-,,
8,unknown,0,0,8,1,0,0.448,0.0,0.448,0.048,0.496,100.165,102.55,101.832,102.13,204.68,0,0,0.6933,1.0,-,,
9,unknown,0,0,9,1,0,0.624,0.0,0.624,0.032,0.632,100.74,101.15,100.426,100.63,201.78,0,0,0.6933,1.0,-,,
10,unknown,0,0,10,1,0,0.632,0.0,0.632,0.024,0.632,100.052,100.43,100.545,100.75,201.17,0,0,0.6933,1.0,-,,
11,unknown,0,0,11,1,0,0.632,0.0,0.632,0.024,0.632,100.186,100.56,100.017,100.22,200.78,0,0,0.6933,1.0,-,,
12,unknown,0,0,12,1,0,0.624,0.0,0.624,0.032,0.632,100.34,100.74,100.654,100.86,201.6,0,0,0.6933,1.0,-,,
13,unknown,0,0,13,1,0,0.632,0.0,0.632,0.024,0.632,101.982,102.35,100.175,100.38,202.73,0,0,0.6933,1.0,-,,
14,unknown,0,0,14,1,0,0.632,0.0,0.632,0.024,0.632,100.044,100.42,100.287,100.49,200.91,0,0,0.6933,1.0,-,,
15,unknown,0,0,15,1,0,0.624,0.0,0.624,0.032,0.632,100.08,100.48,100.407,100.61,201.09,0,0,0.6933,1.0,-,,
16,unknown,0,0,16,1,0,0.632,0.0,0.632,0.024,0.632,100.091,100.46,101.083,101.29,201.75,0,0,0.6933,1.0,-,,
17,unknown,0,0,17,1,0,0.624,0.0,0.624,0.032,0.632,100.309,100.71,100.182,100.39,201.1,0,0,0.6933,1.0,-,,
18,unknown,0,0,18,1,0,0.632,0.0,0.632,0.024,0.632,100.323,100.7,100.07,100.27,200.97,0,0,0.6933,1.0,-,,
