,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,281,61,214,6,14,8,0.792597865,0.004982206,9.530341637,3.689790036,13.33274021
4,85,18,58,9,13,4,0.901582353,0.004192941,29.35531765,12.81118824,42.50247059
5,119,79,33,7,11,4,0.823519328,0.0028,21.62489076,8.595252101,30.39361345
6,35,14,8,13,14,1,0.879308571,0.0408,52.47108571,38.46451429,102.8671429
7,33,16,4,13,17,4,0.850590909,0.028193939,60.07315152,47.07866667,109.6278788
8,119,51,57,11,15,4,0.702184874,0.009411765,19.46766387,11.36834454,30.95983193
9,43,0,26,17,18,1,0.721488372,0.042604651,46.30325581,39.66281395,87.6255814
10,677,309,368,0,0,0,0.349244018,0,5.223847858,0,5.323264402
11,6781,1765,5016,0,1,1,0.257969252,0,0.433142752,0.000388881,0.530974782
1,164,36,125,3,14,11,0.414352439,0.006096341,18.61385366,3.374884146,22.11103659
2,18,0,0,18,18,0,0.174811111,0.039311111,100.2038333,100.1475556,200.7866667
3,59,1,41,17,17,0,0.404932203,0.007359322,32.69518644,28.85220339,61.78440678
