Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.9403,0.0,0.9403,0,0.9403,22.952,25.5,0,0.0,25.5,1,1,0.8486,1.0,-,[98.  1.  9. 13.  6. 11.  3.  3.  0. 14.  5. 31. 24.],[98.  1.  9. 13.  6. 11.  3.  1.  0. 14.  5. 31. 24.]
2,sat,2,0,0,1,1,0.9154,0.005,0.9204,0.0149,0.9353,100.031,104.97,45.535,45.59,150.56,1,1,0.8486,1.0,-,[87.  6.  9.  6.  4. 12.  0.  3.  1.  6. 12.  6. 40.],[87.  6.  9.  6.  4. 12.  0.  4.  1.  6. 12.  6. 40.]
3,sat,3,0,0,0,0,0.9502,0.0,0.9502,0,0.9502,13.942,16.65,0,0.0,16.65,1,1,0.8486,1.0,-,[76.  6. 10. 10.  6.  8.  3.  2.  0.  7. 12. 97. 36.],[76.  6. 10. 10.  6.  8.  3.  0.  0.  7. 12. 97. 36.]
4,unknown,3,0,1,1,0,0.796,0.0,0.796,0.0647,0.8607,100.438,121.51,100.043,100.14,221.65,0,0,0.8486,1.0,-,,
5,unsat,3,1,1,0,0,0.9353,0.0,0.9353,0,0.9353,31.29,33.85,0,0.0,33.85,0,0,0.8486,1.0,-,,
6,sat,4,1,1,0,0,0.9353,0.005,0.9403,0,0.9403,11.753,14.62,0,0.0,14.62,1,1,0.8486,1.0,-,[27.  6. 10. 12.  4. 11.  4.  3.  1.  6. 11. 88. 17.],[27.  6. 10. 12.  4. 11.  4.  4.  1.  6. 11. 88. 17.]
7,unknown,4,1,2,1,0,0.8507,0.0,0.8507,0.0448,0.8955,100.047,115.48,100.126,100.2,215.67,0,0,0.8486,1.0,-,,
8,sat,5,1,2,0,0,0.9453,0.0,0.9453,0,0.9453,6.796,8.24,0,0.0,8.24,1,1,0.8486,1.0,-,[93.  5. 10.  2.  6.  2.  0.  2.  0. 18.  5. 19. 35.],[93.  5. 10.  2.  6.  2.  0.  0.  0. 18.  5. 19. 35.]
9,unknown,5,1,3,1,0,0.8308,0.0,0.8308,0.0796,0.9104,100.556,114.41,100.03,100.1,214.51,0,0,0.8486,1.0,-,,
10,unknown,5,1,4,1,0,0.8756,0.005,0.8806,0.0348,0.9154,100.009,108.32,100.062,100.13,208.44,0,0,0.8486,1.0,-,,
11,unsat,5,2,4,0,0,0.9502,0.005,0.9552,0,0.9552,1.291,2.74,0,0.0,2.74,0,0,0.8486,1.0,-,,
12,unsat,5,3,4,0,0,0.9602,0.0,0.9602,0,0.9602,1.019,1.34,0,0.0,1.34,0,0,0.8486,1.0,-,,
13,sat,6,3,4,0,0,0.9204,0.005,0.9254,0,0.9254,25.276,34.5,0,0.0,34.5,1,1,0.8486,1.0,-,[46.  6.  9. 13.  6. 12.  0.  1.  0.  5.  6. 97.  7.],[46.  6.  9. 13.  6. 12.  0.  0.  0.  5.  6. 97.  7.]
14,unknown,6,3,5,1,0,0.7214,0.0,0.7214,0.1891,0.9104,100.066,143.97,100.035,100.1,244.07,0,0,0.8486,1.0,-,,
15,unknown,6,3,6,1,0,0.7313,0.0,0.7313,0.1244,0.8557,100.159,138.77,100.015,100.12,238.89,0,0,0.8486,1.0,-,,
16,sat,7,3,6,0,0,0.9403,0.0,0.9403,0,0.9403,9.675,12.24,0,0.0,12.24,1,1,0.8486,1.0,-,[82.  2.  9. 12.  6.  1.  0.  0.  1. 13. 12. 28. 24.],[82.  2.  9. 12.  6.  1.  0.  2.  1. 13. 12. 28. 24.]
17,sat,8,3,6,0,0,0.9453,0.0,0.9453,0,0.9453,33.34,34.79,0,0.0,34.79,1,1,0.8486,1.0,-,[71.  5. 10.  4.  0. 11.  0.  3.  0. 12.  5. 40. 17.],[71.  5. 10.  4.  0. 11.  0.  0.  0. 12.  5. 40. 17.]
18,unsat,8,4,6,0,0,0.9453,0.005,0.9502,0,0.9502,11.667,13.27,0,0.0,13.27,0,0,0.8486,1.0,-,,
19,sat,9,4,6,0,0,0.9453,0.0,0.9453,0,0.9453,11.788,14.35,0,0.0,14.35,1,1,0.8486,1.0,-,[100.   6.  10.  13.   6.  13.   0.   4.   0.  15.   4.  31.  18.],[100.   6.  10.  13.   6.  13.   0.   1.   0.  15.   4.  31.  18.]
20,sat,10,4,6,0,0,0.9502,0.0,0.9502,0,0.9502,7.785,9.23,0,0.0,9.23,1,1,0.8486,1.0,-,[69.  0.  9.  1.  6. 13.  0.  3.  1. 12.  0. 71. 10.],[69.  0.  9.  1.  6. 13.  0.  4.  1. 12.  0. 71. 10.]
21,unknown,10,4,7,1,0,0.796,0.0,0.796,0.0896,0.8856,100.028,121.88,100.132,100.22,222.1,0,0,0.8486,1.0,-,,
22,unknown,10,4,8,1,0,0.9104,0.0,0.9104,0.005,0.9154,100.005,100.52,100.113,100.18,200.69,0,0,0.8486,1.0,-,,
23,unsat,10,5,8,0,0,0.9453,0.0,0.9453,0,0.9453,8.571,10.02,0,0.0,10.02,0,0,0.8486,1.0,-,,
24,unknown,10,5,9,1,0,0.602,0.0,0.602,0.1841,0.7861,100.247,153.61,100.057,100.24,253.85,0,0,0.8486,1.0,-,,
25,unknown,10,5,10,1,0,0.6965,0.0,0.6965,0.1542,0.8507,100.556,148.89,100.019,100.1,248.99,0,0,0.8486,1.0,-,,
26,unsat,10,6,10,0,0,0.9403,0.0,0.9403,0,0.9403,27.756,28.09,0,0.0,28.09,0,0,0.8486,1.0,-,,
27,unknown,10,6,11,1,0,0.408,0.0,0.408,0.4229,0.8308,100.636,198.21,100.062,100.21,298.42,0,0,0.8486,1.0,-,,
28,sat,11,6,11,0,0,0.9154,0.0,0.9154,0,0.9154,71.373,76.33,0,0.0,76.33,1,1,0.8486,1.0,-,[75.  5.  9. 16.  0. 13.  5.  1.  0.  0. 12. 80. 28.],[75.  5.  9. 16.  0. 13.  5.  2.  0.  0. 12. 80. 28.]
29,unsat,11,7,11,0,0,0.9353,0.0,0.9353,0,0.9353,29.642,30.29,0,0.0,30.29,0,0,0.8486,1.0,-,,
30,unsat,11,8,11,0,0,0.9552,0.0,0.9552,0,0.9552,1.488,1.81,0,0.0,1.81,0,0,0.8486,1.0,-,,
31,unknown,11,8,12,1,0,0.9055,0.0,0.9055,0.0149,0.9204,100.009,100.83,100.006,100.07,200.9,0,0,0.8486,1.0,-,,
32,sat,12,8,12,0,0,0.9502,0.0,0.9502,0,0.9502,5.33,5.81,0,0.0,5.81,1,1,0.8486,1.0,-,[100.   4.  10.   7.   5.  11.   5.   3.   0.  18.  19.  49.  35.],[100.   4.  10.   7.   5.  11.   5.   4.   0.  18.  19.  49.  35.]
33,unknown,12,8,13,1,0,0.9254,0.0,0.9254,0.005,0.9303,100.02,101.49,100.023,100.08,201.56,0,0,0.8486,1.0,-,,
34,sat,13,8,13,0,0,0.9303,0.0,0.9303,0,0.9303,66.428,68.04,0,0.0,68.04,1,1,0.8486,1.0,-,[87.  6. 10.  9.  5.  5.  0.  0.  0. 19. 18.  6. 35.],[87.  6. 10.  9.  5.  5.  0.  3.  0. 19. 18.  6. 35.]
35,sat,14,8,13,0,0,0.9353,0.01,0.9453,0,0.9453,34.519,38.34,0,0.0,38.34,1,1,0.8486,1.0,-,[58.  6.  9.  6.  6.  7.  4.  3.  1.  6. 19. 50. 37.],[58.  6.  9.  6.  6.  7.  4.  1.  1.  6. 19. 50. 37.]
