Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.7,0.0,0.7,0,0.7,0.803,0.9,0,0.0,0.9,1,1,0.7067,1.0,-,"[2.000e+00 7.900e+01 2.000e+00 7.000e+00 3.789e+03 1.000e+00 1.000e+00
 1.000e+00 2.000e+00 4.000e+00 2.000e+00 1.000e+00 2.000e+00 0.000e+00
 1.000e+00 1.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00]","[2.000e+00 7.900e+01 2.000e+00 7.000e+00 3.789e+03 1.000e+00 1.000e+00
 1.000e+00 2.000e+00 4.000e+00 2.000e+00 1.000e+00 2.000e+00 0.000e+00
 1.000e+00 1.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00]"
2,unsat,1,1,0,0,0,0.7,0.0,0.7,0,0.7,0.145,0.23,0,0.0,0.23,0,0,0.7067,1.0,-,,
3,sat,2,1,0,0,0,0.7,0.0,0.7,0,0.7,0.746,0.84,0,0.0,0.84,1,1,0.7067,1.0,-,"[0.000e+00 9.000e+00 0.000e+00 7.000e+00 2.377e+03 2.000e+00 2.000e+00
 4.000e+00 0.000e+00 3.000e+00 2.000e+00 0.000e+00 2.000e+00 0.000e+00
 1.000e+00 0.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00]","[0.000e+00 9.000e+00 0.000e+00 7.000e+00 2.377e+03 2.000e+00 2.000e+00
 4.000e+00 0.000e+00 3.000e+00 2.000e+00 0.000e+00 2.000e+00 0.000e+00
 1.000e+00 0.000e+00 2.000e+00 0.000e+00 0.000e+00 1.000e+00]"
4,unsat,2,2,0,0,0,0.7,0.0,0.7,0,0.7,0.189,0.28,0,0.0,0.28,0,0,0.7067,1.0,-,,
5,sat,3,2,0,0,0,0.7,0.0,0.7,0,0.7,0.773,0.86,0,0.0,0.86,1,1,0.7067,1.0,-,"[1.000e+00 1.000e+01 0.000e+00 7.000e+00 5.526e+03 2.000e+00 0.000e+00
 4.000e+00 0.000e+00 4.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00]","[1.000e+00 1.000e+01 0.000e+00 7.000e+00 5.526e+03 2.000e+00 0.000e+00
 4.000e+00 0.000e+00 4.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00
 1.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00]"
6,sat,4,2,0,0,0,0.7,0.0,0.7,0,0.7,0.149,0.24,0,0.0,0.24,1,1,0.7067,1.0,-,"[2.000e+00 1.000e+01 2.000e+00 7.000e+00 1.407e+04 2.000e+00 2.000e+00
 1.000e+00 2.000e+00 1.000e+00 1.000e+00 1.000e+00 2.000e+00 2.000e+00
 4.000e+00 3.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00]","[2.000e+00 1.000e+01 2.000e+00 7.000e+00 1.407e+04 2.000e+00 2.000e+00
 1.000e+00 2.000e+00 1.000e+00 1.000e+00 1.000e+00 2.000e+00 2.000e+00
 4.000e+00 3.000e+00 1.000e+00 1.000e+00 0.000e+00 1.000e+00]"
7,unsat,4,3,0,0,0,0.7,0.0,0.7,0,0.7,0.163,0.25,0,0.0,0.25,0,0,0.7067,1.0,-,,
8,sat,5,3,0,0,0,0.7,0.0,0.7,0,0.7,0.131,0.22,0,0.0,0.22,1,1,0.7067,1.0,-,"[2.00e+00 2.00e+01 2.00e+00 7.00e+00 1.39e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 1.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 0.00e+00 1.00e+00]","[2.00e+00 2.00e+01 2.00e+00 7.00e+00 1.39e+04 2.00e+00 2.00e+00 1.00e+00
 2.00e+00 1.00e+00 0.00e+00 1.00e+00 2.00e+00 2.00e+00 4.00e+00 3.00e+00
 1.00e+00 1.00e+00 0.00e+00 0.00e+00]"
9,unsat,5,4,0,0,0,0.7,0.0,0.7,0,0.7,0.189,0.28,0,0.0,0.28,0,0,0.7067,1.0,-,,
10,unsat,5,5,0,0,0,0.7,0.0,0.7,0,0.7,0.266,0.35,0,0.0,0.35,0,0,0.7067,1.0,-,,
11,sat,6,5,0,0,0,0.7,0.0,0.7,0,0.7,1.134,1.23,0,0.0,1.23,1,1,0.7067,1.0,-,"[2.000e+00 8.000e+01 1.000e+00 7.000e+00 2.883e+03 1.000e+00 1.000e+00
 1.000e+00 0.000e+00 4.000e+00 1.000e+00 1.000e+00 2.000e+00 2.000e+00
 3.000e+00 3.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00]","[2.000e+00 8.000e+01 1.000e+00 7.000e+00 2.883e+03 1.000e+00 1.000e+00
 1.000e+00 0.000e+00 4.000e+00 1.000e+00 1.000e+00 2.000e+00 2.000e+00
 3.000e+00 3.000e+00 2.000e+00 0.000e+00 0.000e+00 1.000e+00]"
12,sat,7,5,0,0,0,0.7,0.0,0.7,0,0.7,0.783,0.87,0,0.0,0.87,1,1,0.7067,1.0,-,"[2.000e+00 7.000e+01 2.000e+00 7.000e+00 2.527e+03 0.000e+00 0.000e+00
 3.000e+00 2.000e+00 1.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00
 3.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00 1.000e+00]","[2.000e+00 7.000e+01 2.000e+00 7.000e+00 2.527e+03 0.000e+00 0.000e+00
 3.000e+00 2.000e+00 1.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00
 3.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00]"
13,unsat,7,6,0,0,0,0.7,0.0,0.7,0,0.7,0.171,0.26,0,0.0,0.26,0,0,0.7067,1.0,-,,
14,sat,8,6,0,0,0,0.7,0.0,0.7,0,0.7,0.054,0.14,0,0.0,0.14,1,1,0.7067,1.0,-,"[2.0e+00 6.0e+01 2.0e+00 7.0e+00 9.6e+03 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 0.0e+00 1.0e+00]","[2.0e+00 6.0e+01 2.0e+00 7.0e+00 9.6e+03 2.0e+00 2.0e+00 1.0e+00 2.0e+00
 1.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 4.0e+00 3.0e+00 1.0e+00 1.0e+00
 0.0e+00 0.0e+00]"
15,sat,9,6,0,0,0,0.7,0.0,0.7,0,0.7,0.563,0.65,0,0.0,0.65,1,1,0.7067,1.0,-,"[2.000e+00 3.900e+01 2.000e+00 7.000e+00 5.699e+03 1.000e+00 0.000e+00
 4.000e+00 2.000e+00 4.000e+00 1.000e+00 0.000e+00 0.000e+00 2.000e+00
 1.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00]","[2.000e+00 3.900e+01 2.000e+00 7.000e+00 5.699e+03 1.000e+00 0.000e+00
 4.000e+00 2.000e+00 4.000e+00 1.000e+00 0.000e+00 0.000e+00 2.000e+00
 1.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 1.000e+00]"
16,unsat,9,7,0,0,0,0.7,0.0,0.7,0,0.7,0.187,0.27,0,0.0,0.27,0,0,0.7067,1.0,-,,
